melbourne,144.956776,-37.817403000000006,1266,1030,780,106,130,52,32
east melbourne,144.98220700000002,-37.818517,138,122,80,13,17,4,1
west melbourne,144.949592,-37.810871,263,225,156,25,38,10,4
south wharf,144.9520744,-37.82528675,17,12,11,2,1,0,0
southbank,144.965926,-37.823258,284,232,164,23,31,6,5
docklands,144.948039,-37.814719000000004,245,200,138,22,20,10,3
footscray,144.907953,-37.807101,262,214,171,15,23,8,7
seddon,144.907953,-37.807101,30,28,21,2,5,1,1
brooklyn,144.861162,-37.807134999999995,111,98,56,11,14,6,0
kingsville,144.861162,-37.807134999999995,38,29,26,2,5,0,1
maidstone,144.861162,-37.807134999999995,96,78,64,5,10,1,3
tottenham,144.861162,-37.807134999999995,5,5,5,1,1,0,0
west footscray,144.861162,-37.807134999999995,80,67,53,4,11,1,0
yarraville,144.888686,-37.814183,122,109,75,7,16,4,1
newport,144.880556,-37.838242,59,52,33,3,5,2,3
south kingsville,144.880556,-37.838242,9,7,5,0,2,0,0
spotswood,144.880556,-37.838242,91,72,60,13,7,1,3
williamstown,144.888461,-37.863743,72,56,42,6,5,2,1
williamstown north,144.888461,-37.863743,13,12,6,2,1,1,0
altona,144.812736,-37.86172,98,77,57,6,12,4,1
seaholme,144.812736,-37.86172,7,6,6,0,0,0,0
braybrook,144.85401399999998,-37.784683,93,80,62,7,10,2,3
albion,144.829945,-37.777204,33,29,19,4,4,0,1
sunshine,144.829945,-37.777204,166,140,97,10,23,6,6
sunshine north,144.829945,-37.777204,159,133,96,22,12,3,1
sunshine west,144.829945,-37.777204,120,105,73,6,14,2,3
albanvale,144.796693,-37.743361,21,17,15,3,4,1,0
kealba,144.796693,-37.743361,10,8,6,0,0,1,2
kings park,144.796693,-37.743361,32,29,19,2,3,0,1
st albans,144.796693,-37.743361,308,255,187,24,33,8,6
ardeer,144.79396100000002,-37.795937,48,42,28,6,7,1,1
burnside,144.77064099999998,-37.78272,22,21,14,2,3,0,1
burnside heights,144.755657,-37.73218752,15,10,13,1,2,0,0
cairnlea,144.77064099999998,-37.78272,65,52,42,4,10,2,1
